ID,Latitude,Longitude,number,formatted_ID
GENERATION SITE,2.432765800111337,35.42652786939193,0,GENERATION SITE
E,2.438703265968303,35.42039389755682,0,E
E,2.43847941373317,35.42087280920398,0,E
E,2.438673630887412,35.42120531898117,0,E
E,2.438758930412521,35.4215268628332,0,E
E,2.438955680413982,35.42130052084155,0,E
E,2.43881165737403,35.42251518366655,0,E
E,2.439074402752045,35.4216019507333,0,E
E,2.439737229356811,35.42272444364789,0,E
E,2.439056887103677,35.42221491617798,0,E
E,2.439624218957048,35.42223671450829,0,E
E,2.439406245056368,35.42260046391959,0,E
E,2.440568003319235,35.42256654918881,0,E
E,2.440625851126579,35.42359311430908,0,E
E,2.438694521623724,35.42053120761508,0,E
E,2.439710259603496,35.4232773498909,0,E
E,2.439200446217797,35.42114063930298,0,E
E,2.440182445270572,35.42054503201499,0,E
E,2.441869394378117,35.42105357566015,0,E
E,2.441462236689205,35.42125277572383,0,E
E,2.442479999401976,35.42232238929215,0,E
E,2.441848897397058,35.42372353954315,0,E
E,2.443036547260759,35.42384854613059,0,E
E,2.44344093516191,35.42322688021129,0,E
E,2.442569654624053,35.42310952890772,0,E
E,2.443648333408844,35.42409639181771,0,E
E,2.443235150257407,35.42073177197143,0,E
E,2.443006084145908,35.42114020709082,0,E
E,2.443310166026373,35.42102501807751,0,E
E,2.439144582564541,35.42041095939137,0,E
E,2.438234620744862,35.42069971404226,0,E
E,2.437733583910457,35.4199394495844,0,E
E,2.437599871791341,35.42021490842984,0,E
E,2.433316236245238,35.42644114884023,0,E
E,2.433481644106276,35.42508245972543,0,E
E,2.433405192040311,35.42324323797276,0,E
E,2.433806818563226,35.4276728960205,0,E
E,2.434870143436881,35.42611491855904,0,E
E,2.435421527844135,35.42637515072965,0,E
E,2.435254354173735,35.42709268519853,0,E
E,2.435186003249776,35.42924980629522,0,E
E,2.43517888785,35.42975462203105,0,E
E,2.43488241691072,35.42526395982274,0,E
E,2.435086193195574,35.42499822953517,0,E
E,2.434856877325188,35.42493561902393,0,E
E,2.434986661289462,35.42342187718124,0,E
E,2.447346348650739,35.42166521335072,0,E
E,2.434789372208698,35.42426434381437,0,E
E,2.434719735342309,35.42387680360341,0,E
E,2.434593714249703,35.42346498979144,0,E
E,2.435142734227059,35.42278999171361,0,E
E,2.434464316735373,35.42309773036925,0,E
E,2.435142854303078,35.42221084897762,0,E
E,2.434735448225497,35.42218899691578,0,E
E,2.434926731531375,35.42189798351067,0,E
E,2.435298051531193,35.42075462283175,0,E
E,2.434626921600433,35.42095444272578,0,E
E,2.435879582696595,35.42121732407607,0,E
E,2.435618387805597,35.42038179914639,0,E
E,2.43486035355677,35.42048254839965,0,E
E,2.43561281597922,35.41942099307612,0,E
E,2.436537001230316,35.41906048939902,0,E
E,2.444963990924127,35.42134279395992,0,E
E,2.445498174017745,35.42197053972966,0,E
E,2.442628971988934,35.42128852225388,0,E
E,2.446666071122462,35.42144848553755,0,E
E,2.446400066533323,35.42096389380726,0,E
E,2.447051156376723,35.42213125373355,0,E
E,2.447593420808884,35.42137925988941,0,E
E,2.445787232105643,35.4215822707622,0,E
CROSSING RIVER VALLEY,2.43976778653429,35.42051628023715,0,CROSSING RIVER VALLEY
CROSSING RIVER VALLEY,2.436098458275709,35.41948019396527,0,CROSSING RIVER VALLEY
CROSSING RIVER VALLEY,2.443721242127294,35.42094854727557,0,CROSSING RIVER VALLEY
P1,2.43281092422918,35.42646856664154,1,P1
P2,2.433314521898748,35.42643618924176,2,P2
P3,2.433755730994154,35.42640512113692,3,P3
P4,2.433665302631229,35.42596117982256,4,P4
P5,2.433574709641493,35.42551968866462,5,P5
P6,2.433486861602477,35.42507467629365,6,P6
P7,2.433397013509615,35.42462938635577,7,P7
P8,2.433401293020348,35.42416007830011,8,P8
P9,2.433404888217282,35.423691333898,9,P9
P10,2.433408898261231,35.42324459611835,10,P10
P11,2.433878734066194,35.42688314563891,11,P11
P12,2.433978404910143,35.42727534303575,12,P12
P13,2.433810210048282,35.4276864521512,13,P13
P14,2.434143503410194,35.42635630875427,14,P14
P15,2.434519094522942,35.42630652354379,15,P15
P16,2.434867242807261,35.42611812399306,16,P16
P17,2.435177451835025,35.42594354811296,17,P17
P18,2.435215375538578,35.42640127074754,18,P18
P19,2.435420888358135,35.42638151122228,19,P19
P20,2.43524754984779,35.42676135482997,20,P20
P21,2.43525092788512,35.4271055477132,21,P21
P22,2.435254506014911,35.42746323060371,22,P22
P23,2.435079682248499,35.42811653966512,23,P23
P24,2.435193283581017,35.42857597959858,24,P24
P25,2.435185330720099,35.42924970190062,25,P25
P26,2.4351837944785,35.4295106540206,26,P26
P27,2.435180724795888,35.42976239579768,27,P27
P28,2.435148149032642,35.4256162787397,28,P28
P29,2.435111420031975,35.42523909442638,29,P29
P30,2.434884973762804,35.42527031955734,30,P30
P31,2.435091243074165,35.42500113466217,31,P31
P32,2.435066886321136,35.42474965254532,32,P32
P33,2.434847074925362,35.42473507990044,33,P33
P34,2.434857257520471,35.42494379795948,34,P34
P35,2.435048302477223,35.42429420460695,35,P35
P36,2.434787614232267,35.42426899534753,36,P36
P37,2.435027949184208,35.42387228154222,37,P37
P38,2.434719542854912,35.42389250990629,38,P38
P39,2.43498597073745,35.42343511116047,39,P39
P40,2.434595900105333,35.42347253215503,40,P40
P41,2.434949605656116,35.42313428281476,41,P41
P42,2.434905855472443,35.42276282283766,42,P42
P43,2.434509428428703,35.42272696717406,43,P43
P44,2.434463570526951,35.42311326552979,44,P44
P45,2.435139199866132,35.42280525772882,45,P45
P46,2.435026988272897,35.42248074851424,46,P46
P47,2.435141097068395,35.42221596960588,47,P47
P48,2.434738978903197,35.42220038843309,48,P48
P49,2.435201460973659,35.4219476845114,49,P49
P50,2.434928490365095,35.42190792708555,50,P50
P51,2.435273570253329,35.42161823114068,51,P51
P52,2.434927539585705,35.42158449003683,52,P52
P53,2.434651121505508,35.42144543680915,53,P53
P54,2.435366564189524,35.42119904904362,54,P54
P55,2.43493198441915,35.4211306888724,55,P55
P56,2.434629764148563,35.42096068251691,56,P56
P57,2.435884552085982,35.42122212285152,57,P57
P58,2.435303113058379,35.42076509539013,58,P58
P59,2.435246068865449,35.42037558672178,59,P59
P60,2.434858670872515,35.42049041071207,60,P60
P61,2.435625604021923,35.42039572737787,61,P61
