ID,Latitude,Longitude,number,formatted_ID
p66,4.50554411020329,7.66940876407455,66,P66
p67,4.505845258010776,7.669727261674463,67,P67
p68,4.506201029573258,7.670086640044287,68,P68
p69,4.505473165074969,7.668716421501218,69,P69
p70,4.505869212451061,7.668905424012999,70,P70
p71,4.506151079379307,7.669034244462107,71,P71
p72,4.506427736427105,7.669159429108296,72,P72
p73,4.50669187654083,7.669355768790349,73,P73
p74,4.507035557596496,7.669522611609589,74,P74
p75,4.507418032142678,7.669592232383216,75,P75
p75,4.502625927174845,7.665604275465501,75,P75
p76,4.50777770581429,7.669655437664085,76,P76
p76,4.502703178757613,7.665493636147273,76,P76
p77,4.508089383324553,7.669563375878809,77,P77
p78,4.502873643662462,7.665266479044066,78,P78
p78,4.508320899689407,7.669273425718009,78,P78
p79,4.503996335843587,7.666794945347091,79,P79
p79,4.502974081750562,7.665157023411028,79,P79
p80,4.504046675922507,7.666421015713533,80,P80
p81,4.504138557564795,7.665792708756012,81,P81
p82,4.504225320545134,7.665213773390405,82,P82
p83,4.504310260939837,7.664535972855646,83,P83
p84,4.504619326026815,7.664101117135274,84,P84
p85,4.505035425555473,7.663826626141859,85,P85
p86,4.505168373832868,7.663359892239492,86,P86
p87,4.505371291058488,7.662770477434428,87,P87
p88,4.50561014354612,7.662281615928013,88,P88
p89,4.505956248638819,7.661821414924428,89,P89
p90,4.50631506025884,7.661458269694381,90,P90
p91,4.506701341739388,7.66116234375259,91,P91
p92,4.507079213187297,7.660928091813204,92,P92
p93,4.507403749790585,7.660506630240222,93,P93
p94,4.507836635567531,7.660083394314197,94,P94
p95,4.508172786392143,7.659691044825838,95,P95
p96,4.508746150375825,7.659320666652687,96,P96
p097,4.509073921764541,7.6595751202249,97,P97
p98,4.509732128803252,7.658864584717168,98,P98
p99,4.510338661155008,7.658517616256686,99,P99
p100,4.510217517680434,7.658069899945481,100,P100
p101,4.509886557255191,7.658141281441835,101,P101
p102,4.509580683789024,7.658355825348555,102,P102
p103,4.509229992720138,7.658577703778064,103,P103
p104,4.509764726241518,7.657943649180458,104,P104
p105,4.509990153948785,7.657675536405497,105,P105
p106,4.510241298776148,7.657386341979231,106,P106
p107,4.510595745025732,7.657100028134018,107,P107
p108,4.510891504474588,7.656871729781576,108,P108
p109,4.511332347341624,7.656697496440701,109,P109
p110,4.511746256227219,7.656786289466972,110,P110
p111,4.510598194137252,7.657981186969776,111,P111
p112,4.511068757980809,7.657943829214346,112,P112
p113,4.511549256639901,7.657952557651519,113,P113
p114,4.510595562759235,7.658646941283194,114,P114
p115,4.511017403645405,7.658582254448945,115,P115
p116,4.511457979876716,7.658564369271605,116,P116
p117,4.511798112489396,7.658778179241914,117,P117
p118,4.512088257528334,7.65901726439457,118,P118
p119,4.512361361423034,7.659194791563316,119,P119
p120,4.510744008245303,7.658917487711974,120,P120
p121,4.510903570644327,7.659194498580058,121,P121
p122,4.511067348967216,7.659504743291659,122,P122
p123,4.511401178097884,7.659684289300839,123,P123
p124,4.511684784576644,7.659898256592943,124,P124
p125,4.511946750748223,7.660206765340072,125,P125
p126,4.51219688847716,7.660618704669659,126,P126
