ID,Latitude,Longitude,number,formatted_ID
P45 NT,-0.2317949962404354,34.1502065735142,45,P45
P46 N,-0.2317810316038221,34.15037982412028,46,P46
P47 N,-0.2319864242754168,34.15018505045033,47,P47
P48 N,-0.2321432165964573,34.15016930564781,48,P48
P49 3W,-0.2319770976906647,34.14903069293999,49,P49
P50 NT,-0.2319960853626162,34.14922964842813,50,P50
P51 N,-0.2321837163055632,34.14921771736747,51,P51
P52 2W,-0.2320165049779649,34.14949756011183,52,P52
P53 N,-0.2323145350633155,34.14948891669019,53,P53
P54 NT,-0.2322070179227558,34.14869162397668,54,P54
P55 NT,-0.2321555999197368,34.14839051216505,55,P55
P56 N,-0.2317217463308217,34.14847226889982,56,P56
P57 N,-0.2320888572954249,34.14788723630747,57,P57
P58 4W,-0.2320209640360602,34.14737610995257,58,P58
P59 N,-0.2323553050984821,34.14737755153782,59,P59
P60 N,-0.2327203245218193,34.14737921638901,60,P60
P61 2W,-0.231670335095083,34.1473590179926,61,P61
P62 2W,-0.2315289359574614,34.14672100794215,62,P62
P63 N,-0.2309492662781878,34.14681085763414,63,P63
P64 N,-0.2319812387103805,34.14679106587488,64,P64
P65 N,-0.2321468625683984,34.14636852640999,65,P65
P66 3W,-0.2324060496694357,34.14852481355388,66,P66
P67 NT,-0.2325506473725541,34.14888999711818,67,P67
P68 N,-0.2323735578816286,34.14901971158654,68,P68
P69 N,-0.2326666127146852,34.14920067254779,69,P69
P70 NT,-0.2326855416218159,34.14953373942849,70,P70
P71 N,-0.2326555233981609,34.1499259779464,71,P71
P72 N,-0.2330692941139929,34.14949985173568,72,P72
P73 N,-0.233479589258287,34.14945736829161,73,P73
P74 NT,-0.2336453524176166,34.14990743514076,74,P74
P75 N,-0.234058072231198,34.14978113941525,75,P75
P76 2W,-0.2338124365246155,34.15036574879427,76,P76
P77 N,-0.2341148676522541,34.15025519993827,77,P77
P78 N,-0.2327517935227015,34.14830952678717,78,P78
P79 NT,-0.2330977132822602,34.14809932263059,79,P79
P80 N,-0.2333737827243458,34.1477282232371,80,P80
P81 N,-0.2336310423559012,34.14737391506603,81,P81
P82 3W,-0.2340100984272946,34.14718054077144,82,P82
P83 N,-0.2343798790660603,34.14681136078649,83,P83
P84 2W,-0.2336770541371347,34.14674742814179,84,P84
P85 N,-0.2338882081138828,34.14631960358899,85,P85
P86 NT,-0.233540153394984,34.14841104956452,86,P86
P87 N,-0.233798648947927,34.14800687640528,87,P87
P88 2W,-0.2340308903719751,34.1487488260224,88,P88
P89 NT,-0.2343182287252178,34.14844959313337,89,P89
P90 N,-0.2345362899458613,34.14869194210508,90,P90
P91 N,-0.2346676628379642,34.14808629394738,91,P91
P92 N,-0.2349985317835981,34.14773837336364,92,P92
P93 N,-0.2353387621557004,34.14738859786989,93,P93
P94 NT,-0.2358415435394241,34.14722878526622,94,P94
P95 N,-0.2356832911744648,34.14684502650395,95,P95
P96 N,-0.2362233154718612,34.14709806545748,96,P96
